每日AI资讯抓取统计
生成时间：2026-04-29 16:19
候选资讯总数：119
正文资讯总数：20

分站点统计：
站点 | 启用 | 权重 | 计划抓取 | 抓取数 | 筛后数 | 去重后数 | 最终入选数 | 状态 | 备注
----------------------------------------------------------------------------------------------------
量子位 | 是 | 1.35 | 10 | 10 | 6 | 6 | 3 | ok | 
新智元 | 是 | 1.30 | 10 | 10 | 10 | 10 | 3 | ok | 
稀土掘金 AI | 是 | 1.24 | 10 | 0 | 0 | 0 | 0 | empty | 
AIbase | 是 | 1.20 | 10 | 10 | 2 | 2 | 0 | ok | 
36Kr AI | 是 | 1.16 | 10 | 10 | 8 | 8 | 2 | ok | 
AIHotToday | 是 | 1.10 | 10 | 10 | 10 | 1 | 0 | ok | 
AI方案库 | 是 | 1.06 | 10 | 0 | 0 | 0 | 0 | empty | 
Pandaily AI | 是 | 1.04 | 10 | 6 | 6 | 6 | 0 | ok | 
MarkTechPost | 是 | 1.25 | 10 | 10 | 7 | 7 | 3 | ok | 
TechCrunch AI | 是 | 1.20 | 10 | 10 | 9 | 9 | 3 | ok | 
Tech Funding News AI Funding | 是 | 1.14 | 10 | 3 | 2 | 2 | 0 | ok | 
NVIDIA Developer Blog | 是 | 1.15 | 10 | 10 | 2 | 2 | 1 | ok | 
Anthropic Blog | 是 | 1.10 | 10 | 10 | 1 | 1 | 0 | ok | 
Papers with Code | 是 | 1.08 | 10 | 10 | 0 | 0 | 0 | ok | 
arXiv cs.AI | 是 | 1.18 | 10 | 10 | 10 | 10 | 5 | ok | 
